id,device_id,created_date,created_server_date,app_version,subscription,region_code,language_code,device_type,session_id,event_time,event,value
471,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,0,eventWelcomeOnboardScreen,
472,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,2,eventDownloadStoryPreviewFinished,
473,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,28,tapShowMeButtonOnboardScreen,
474,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,37,eventTask,word:  certain
475,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,38,tapHoldAndSpeakButton,word:  certain
476,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,38,eventShortTapOnMic,word:  certain
477,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,40,tapSkipButtonOnboardScreen,certain
478,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,40,eventTaskStatus,word:  certain:
479,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,41,tapNextToRuleOnWordTask,
480,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,41,tapReplyRuleOnWordTask,"«c» reads as [s] before letters 'e', 'y', 'i'. Examples: face, city, cinema, cycle, ice, center."
481,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,49,tapNextFromRuleOnWordTask,
482,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,50,tapPersonalizedButtonOnboardScreen,
483,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,51,tapShowMeButtonOnboardScreen,Doctor Knowall : true
484,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,53,tapHoldAndSpeakButtonOnboardScreen,too short
485,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,57,tapHoldAndSpeakButtonOnboardScreen,too short
486,16A37233-6365-4F8F-A5E5-9B4B4916A1B8,2023-07-19T17:29:10.964000Z,2023-07-28T16:32:00.209497Z,1.0,False,US,en,iPhone,26AE4D94-BE0D-417E-95D7-7C1405161535,58,tapHoldAndSpeakButtonOnboardScreen,too short
